segment_S,accession_S,country,admin1,location,latitude,longitude
KM406538|LM0396|Mastomys_natalensis|SierraLeone|2009-07-22,KM406538,SLE,Kenema,Ngiehun,8.18,-11.08
KM821777|G610_SLE_2009|Human|Sierra_Leone|2009-08-28,KM821777,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821820|G1960_SLE_2011|Human|Sierra_Leone|2011-09-11,KM821820,SLE,Kenema,Tongo Field,NA,NA
KM821814|G1792_SLE_2011|Human|Sierra_Leone|2011-06-17,KM821814,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821878|G2934_SLE_2012|Human|Sierra_Leone|2012-11-27,KM821878,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821863|G2565_SLE_2012|Human|Sierra_Leone|2012-07-02,KM821863,SLE,Kenema,Tongo Field,NA,NA
AF182253|las801100|Mouse|Sierra_Leone|1978,AF182253,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821775|G503_SLE_2009|Human|Sierra_Leone|2009-04-30,KM821775,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821845|G2318_SLE_2012|Human|Sierra_Leone|2012-02-12,KM821845,SLE,Kenema,Ngiehun,8.18,-11.08
KM821773|G502_SLE_2009|Human|Sierra_Leone|2009-04-29,KM821773,SLE,Kenema,Kenema,7.862212,-11.196247
KM821794|G1180_SLE_2010|Human|Sierra_Leone|2010-09-02,KM821794,SLE,Kenema,Melegohun,NA,NA
KM821824|G2147_SLE_2011|Human|Sierra_Leone|2011-11-16,KM821824,SLE,Kenema,Tongo Tongola old town,8.21154,-11.05124
AF182254|las806843|Human|Sierra_Leone|1993,AF182254,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182239|las801105|Mouse|Sierra_Leone|1978,AF182239,SLE,Kailahun,Konia,NA,NA
AF182244|las801108|Mouse|Sierra_Leone|1978,AF182244,SLE,Kailahun,Konia,NA,NA
KM821882|G3010_SLE_2013|Human|Sierra_Leone|2013-02-05,KM821882,SLE,Kenema,Nyadeyama,8.3188107,-11.3151104
KM821818|G1959_SLE_2011|Human|Sierra_Leone|2011-09-09,KM821818,SLE,Kenema,Kenema,7.862212,-11.196247
KM821877|G2906_SLE_2012|Human|Sierra_Leone|2012-11-03,KM821877,SLE,Kenema,Kenema,7.862212,-11.196247
KM822113|LM222_SLE_2010|Mouse|Sierra_Leone|2010,KM822113,SLE,,,NA,NA
KM822124|LM778_SLE_2012|Mouse|Sierra_Leone|2012,KM822124,SLE,,,NA,NA
KM822120|LM774_SLE_2012|Mouse|Sierra_Leone|2012,KM822120,SLE,,,NA,NA
KM821826|G2165_SLE_2011|Human|Sierra_Leone|2011-11-18,KM821826,SLE,Kenema,Panguma,8.184479,-11.134313
KM821828|G2184_SLE_2011|Human|Sierra_Leone|2011-11-26,KM821828,SLE,Bo,Gondama,7.86688,-11.70931
KM822118|LM771_SLE_2012|Mouse|Sierra_Leone|2012,KM822118,SLE,,,NA,NA
MN275173|LF2384-NS-DIA-1|Human|SLE|2012,MN275173,SLE,,,NA,NA
KM821848|G2384_SLE_2012|Human|Sierra_Leone|2012-03-09,KM821848,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182245|las807875|Mouse|Sierra_Leone|1982,AF182245,SLE,,,NA,NA
AF182246|las807976|Human|Sierra_Leone|1977,AF182246,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821792|G808_SLE_2010|Human|Sierra_Leone|2010-02-27,KM821792,SLE,Kenema,Panguma,8.184479,-11.134313
KM821874|G2868_SLE_2012|Human|Sierra_Leone|2012-10-08,KM821874,SLE,Kenema,Kpetema-Brewaya,8.355083,-11.324278
KM821899|G3206_SLE_2013|Human|Sierra_Leone|2013-07-01,KM821899,SLE,Kenema,Panguma,8.184479,-11.134313
KM821876|G2903_SLE_2012|Human|Sierra_Leone|2012-10-30,KM821876,SLE,Bo,Gondama,7.86688,-11.70931
KM821779|G636_SLE_2009|Human|Sierra_Leone|2009-10-09,KM821779,SLE,Kenema,Kono Gorama,8.38727,-11.0879
KM821843|G2315_SLE_2012|Human|Sierra_Leone|2012-02-10,KM821843,SLE,Kenema,Panguma,8.184479,-11.134313
AF182247|las803211|Human|Sierra_Leone|1972,AF182247,SLE,Kenema,Panguma,8.184479,-11.134313
AF182250|las803206|Human|Sierra_Leone|1976,AF182250,SLE,Kenema,Panguma,8.184479,-11.134313
AF182252|las9607300|Human|Sierra_Leone|1996,AF182252,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821812|G1774_SLE_2011|Human|Sierra_Leone|2011-06-11,KM821812,SLE,Kenema,Largo,8.05,-11.11
KM821832|G2222_SLE_2011|Human|Sierra_Leone|2011-12-19,KM821832,SLE,Kenema,Largo,8.05,-11.11
KM821790|G806_SLE_2010|Human|Sierra_Leone|2010-02-26,KM821790,SLE,Kenema,Panguma,8.184479,-11.134313
AF182255|las9607302|Human|Sierra_Leone|1996,AF182255,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821783|G692_SLE_2009|Human|Sierra_Leone|2009-12-31,KM821783,SLE,Kenema,,NA,NA
KM821815|G1897_SLE_2011|Human|Sierra_Leone|2011-07-27,KM821815,SLE,Kenema,Segbwema,7.997399,-10.950236
KM821867|G2612_SLE_2012|Human|Sierra_Leone|2012-07-23,KM821867,SLE,Kenema,Kenema,7.862212,-11.196247
